Mlađe seniorke / Senior Women U23 - 100 m
Result	Wind	Name_Surname	Birthday	Club	City	Date
12,28	+1,1	Luana BOBANOVIĆ	05.03.1999	KR	Zagreb 	08.08.2020
12,67	+1,1	Katarina KOMARICA	11.11.1998	ZAG	Zagreb 	08.08.2020
12,69	+0,2	Dolores ĆOSIĆ	09.12.1999	DZ	Zagreb 	11.07.2020
13,02	+1,6	Ana GRD	27.11.2000	DZ	Zagreb 	18.07.2020
13,30	+2,0	Nikolina UŽNIK 	30.11.2000	SO	Osijek 	21.06.2020
    uz pomoć vjetra / wind assisted
13,01	+3,0	Ana GRD	27.11.2000	DZ	Zagreb 	11.07.2020
14,17	+4,3	Lea BRANILOVIĆ 	09.08.2000	MČ	Zagreb 	11.07.2020
Mlađe seniorke / Senior Women U23 - 200 m
Result	Wind	Name_Surname	Birthday	Club	City	Date
Mlađe seniorke / Senior Women U23 - 400 m
Result	Name_Surname	Birthday	Club	City	Date
1:01,79	Paula RAKIJAŠIĆ	06.07.2000	VTCA	Zagreb 	11.07.2020
Mlađe seniorke / Senior Women U23 - 800 m
Result	Name_Surname	Birthday	Club	City	Date
2:16,67	Paula RAKIJAŠIĆ	06.07.2000	VTCA	Zagreb 	09.08.2020
2:25,71	Leonarda FARKAŠ	11.07.2000	AGR	Zagreb 	12.07.2020
2:38,34	Ana MARTINOVIĆ 	11.06.1999	OTOK	Zagreb 	30.08.2020
3:37,43	Helena SVIBEN	23.07.2000	MZ	Zagreb 	12.07.2020
Mlađe seniorke / Senior Women U23 - 1500 m
Result	Name_Surname	Birthday	Club	City	Date
4:41,30	Katarina VUKANČIĆ	08.10.1999	AGR	Zagreb 	11.07.2020
4:53,51	Leonarda FARKAŠ	11.07.2000	AGR	Zagreb 	11.07.2020
5:19,05	Ivana KNAPIĆ 	14.06.2000	ZAG	Zagreb 	11.07.2020
Mlađe seniorke / Senior Women U23 - 3000 m
Result	Name_Surname	Birthday	Club	City	Date
10:12,57	Katarina VUKANČIĆ	08.10.1999	AGR	Zagreb 	12.07.2020
10:20,30	Helena VALENTIĆ	25.05.2000	KK	Zagreb 	15.09.2020
10:48,20	Sandra ŠRUT	26.01.1999	AGR	Zagreb 	12.07.2020
11:01,95	Leonarda FARKAŠ	11.07.2000	AGR	Zagreb 	12.07.2020
11:09,09	Lora ONTL	16.10.1999	DZ	Zagreb 	12.07.2020
11:49,45	Katarina ČIČIĆ 	02.10.2000	SVZG	Zagreb 	12.07.2020
11:51,08	Kristin KOKAN	10.01.2000	FIT	Zagreb 	30.08.2020
11:59,90	Ivana KNAPIĆ 	14.06.2000	ZAG	Zagreb 	12.07.2020
Mlađe seniorke / Senior Women U23 - 5000 m
Result	Name_Surname	Birthday	Club	City	Date
17:45,41	Katarina VUKANČIĆ	08.10.1999	AGR	Zagreb 	11.07.2020
19:15,37	Leonarda FARKAŠ	11.07.2000	AGR	Zagreb 	11.07.2020
21:37,59	Kristin KOKAN	10.01.2000	FIT	Zagreb 	29.08.2020
Mlađe seniorke / Senior Women U23 - 10000 m
Result	Name_Surname	Birthday	Club	City	Date
36:43,93	Katarina VUKANČIĆ	08.10.1999	AGR	Čakovec	04.07.2020
43:22,22	Katarina ČIČIĆ 	02.10.2000	SVZG	Čakovec	04.07.2020
Mlađe seniorke / Senior Women U23 - 10 km (cesta) / 10 km (Road Race)
Result	Name_Surname	Birthday	Club	City	Date
36:45	Katarina VUKANČIĆ	08.10.1999	AGR	Zaprešić 	17.10.2020
42:20	Nika RIMAJ 	19.06.2000	SI	Karlovac 	11.07.2020
42:57	Kristin KOKAN	10.01.2000	FIT	Zaprešić 	17.10.2020
44:55	Katarina ČIČIĆ 	02.10.2000	SVZG	Zaprešić 	17.10.2020
53:21	Katarina REBRENJAK 	05.11.1999	MARKR	Zaprešić 	17.10.2020
Mlađe seniorke / Senior Women U23 - 100 m prepone / 100 m Hurdles
Result	Wind	Name_Surname	Birthday	Club	City	Date
    uz pomoć vjetra / wind assisted
16,75	+2,2	Iva POLIĆ	08.04.2000	KR	Zagreb 	11.07.2020
Mlađe seniorke / Senior Women U23 - 400 m prepone / 400 m Hurdles
Result	Name_Surname	Birthday	Club	City	Date
1:10,54	Iva POLIĆ	08.04.2000	KR	Zagreb 	12.07.2020
Mlađe seniorke / Senior Women U23 - 3000 m zapreke / 3000 m Steeplechase
Result	Name_Surname	Birthday	Club	City	Date
11:02,74	Helena VALENTIĆ	25.05.2000	KK	Zagreb 	18.07.2020
11:42,05	Sandra ŠRUT	26.01.1999	AGR	Zagreb 	11.07.2020
11:55,63	Lora ONTL	16.10.1999	DZ	Zagreb 	11.07.2020
12:54,88	Katarina ČIČIĆ 	02.10.2000	SVZG	Zagreb 	29.08.2020
17:10,69	Helena SVIBEN	23.07.2000	MZ	Zagreb 	11.07.2020
Mlađe seniorke / Senior Women U23 - Dalj / Long Jump
Result	Wind	Name_Surname	Birthday	Club	City	Date
6,11	+0,6	Klara BARNJAK	18.09.1999	KR	Zagreb 	12.07.2020
5,62	 0,0	Josipa DRAGIČEVIĆ	06.05.2000	ASK	Zagreb 	30.08.2020
5,23	+0,5	Ema CETUŠIĆ JAKOPOVIĆ	29.10.1999	DZ	Zagreb 	30.08.2020
4,98	+1,2	Lea BRANILOVIĆ 	09.08.2000	MČ	Zagreb 	30.08.2020
4,95	+0,4	Rea VUSIĆ	19.10.1999	AGR	Zagreb 	12.07.2020
4,47	+1,0	Josipa GAJDOŠ	04.10.1999	JAS	Čakovec	03.10.2020
4,36	+0,7	Silvija ALICH	01.07.2000	JAS	Zagreb 	30.08.2020
4,24	+1,2	Teuta BLAŽIĆ 	29.11.2000	MČ	Zagreb 	12.07.2020
    uz pomoć vjetra / wind assisted
5,54	+2,3	Marija IVANKOVIĆ 	06.10.1998	ASK	Split	21.08.2020
5,24	+2,5	Ema CETUŠIĆ JAKOPOVIĆ	29.10.1999	DZ	Zagreb 	30.08.2020
4,34	+2,8	Teuta BLAŽIĆ 	29.11.2000	MČ	Zagreb 	12.07.2020
Mlađe seniorke / Senior Women U23 - Vis / High Jump
Result	Name_Surname	Birthday	Club	City	Date
1,45	Klara BARNJAK	18.09.1999	KR	Zagreb 	12.07.2020
1,40	Silvija ALICH	01.07.2000	JAS	Čakovec	10.10.2020
1,35	Dora JAKUPOVIĆ 	06.07.1999	JAS	Čakovec	10.10.2020
1,20	Teuta BLAŽIĆ 	29.11.2000	MČ	Čakovec	05.09.2020
Mlađe seniorke / Senior Women U23 - Troskok / Triple Jump
Result	Wind	Name_Surname	Birthday	Club	City	Date
